beta1,beta2,dia_mudanca,gamma,mu,sigma,state
0.8412516954242844,0.3089733309167755,36.304435761831556,0.24994389138645343,3.628295626271037e-5,0.21901684161556073,AM
0.49966733667649055,0.18746540922164967,66.08619085363411,0.23112749050712897,3.628295626271037e-5,0.19869682646216763,AC
0.6030798429860905,0.31667201229815756,53.21367217490767,0.22033569601095893,3.628295626271037e-5,0.17756525782958768,SE
0.7706579774779354,0.31175667478446667,34.408568182408594,0.24645066609898447,3.628295626271037e-5,0.2034773713048673,CE
0.7267595341710841,0.20838398105430667,37.942680703394515,0.17113734894733496,3.628295626271037e-5,0.19367713952053103,PE
1.0503643835105059,0.29910903199947314,28.94816458821635,0.20576596593243116,3.628295626271037e-5,0.1926444324617261,MA
0.8389032229874889,0.3254463268908314,41.611001223582655,0.24415771828931382,3.628295626271037e-5,0.1965896454632492,RJ
0.6810062214122734,0.2736813581014624,7.779182838127827,0.15776509985353587,3.628295626271037e-5,0.2273081727582533,MS
0.48739120307628053,0.2049611079269651,65.89367752160767,0.209869506377713,3.628295626271037e-5,0.2195476337804239,TO
0.6090794422573906,0.2985622304645525,42.266615782806,0.18787273680878344,3.628295626271037e-5,0.17998392375442007,RO
0.8954968996087586,0.3050636522473185,8.156215082323783,0.17731201969216098,3.628295626271037e-5,0.20733899243719522,GO
0.8212238351876643,0.30096216737552517,44.84075212700121,0.21377060221596084,3.628295626271037e-5,0.17461625787906362,PA
0.8848137599745244,0.28637698725313854,40.208069331819274,0.20929043592346938,3.628295626271037e-5,0.17990463957793676,SP
0.9396302043974196,0.3189973634334972,20.77189606024985,0.21248725264427143,3.628295626271037e-5,0.21381088830084757,MG
1.3797379455645373,0.37744222849549086,7.753764117486279,0.23604617543596176,3.628295626271037e-5,0.23293234813124428,MT
0.4943897149158501,0.3001003954624055,46.81836197613145,0.20547013105575546,3.628295626271037e-5,0.210030775682466,PI
0.7284249847988701,0.36128718231048706,49.470595879449704,0.24149872212371126,3.628295626271037e-5,0.17128036869167185,PB
0.6789334708545326,0.27596943887129566,13.161831117075357,0.18406000289542976,3.628295626271037e-5,0.2331341733720387,PR
0.9243214709030034,0.31077807143047553,17.82559243029454,0.1809211779412638,3.628295626271037e-5,0.19565420757816848,DF
0.8516409050585477,0.2890461309350114,42.708904726796504,0.19996190194597874,3.628295626271037e-5,0.2015797659913635,TOTAL
1.0883299101127888,0.29914200630118887,19.42918903354656,0.20986727723696563,3.628295626271037e-5,0.1996028509212358,RS
1.094535603224343,0.2682873138658549,16.275184509142782,0.19124073488695187,3.628295626271037e-5,0.2064900837094226,SC
0.538315599917303,0.29780163889796113,62.74489249552633,0.20633954641453553,3.628295626271037e-5,0.18227033032719667,AL
0.6460422038741933,0.31318801389812134,30.066161442560244,0.21423988295952787,3.628295626271037e-5,0.20186357439575298,RR
0.8675526634885818,0.28431861038537104,26.449610416401004,0.18056048782057404,3.628295626271037e-5,0.18815067790312545,AP
0.6040824598457653,0.28836253447561494,42.80905230685734,0.20007643605962,3.628295626271037e-5,0.2279850902713308,BA
0.9484113949691142,0.36044446060061175,21.591238696554154,0.23871503533593147,3.628295626271037e-5,0.20144438505744394,RN
0.9253243444899665,0.32400785393518966,23.32523374269539,0.2165362524978155,3.628295626271037e-5,0.206386476340063,ES
